date,precision,name,detail,source_note
2012-07-19,day,Battle of Aleppo begins,"Gunfire breaks out between rebels and security forces in Salaheddine district, southwest Aleppo; three days later rebel fighters converge on and penetrate the city.",Wikipedia: Battle of Aleppo (2012-2016)
2012-11-26,day,Rebels capture Tishrin Dam,Rebels seize Tishrin Dam northeast of the city, cutting off nearly all remaining government supply routes into Aleppo.,Wikipedia: Battle of Aleppo (2012-2016)
2013-02,month,Great Mosque of Aleppo (Umayyad Mosque) seized,"Rebels seize the Umayyad Mosque; during the fighting the mosque's museum catches fire and its ceiling collapses -- another historic Aleppo mosque damaged in the same conflict.",Wikipedia: Battle of Aleppo (2012-2016)
2014-04-27,day,Old City / al-Hatab Square operation,"FSA and Ahrar ash-Sham launch an operation in the Old City and al-Hatab Square (Al-Jdayde district) using tunnel bombs; churches, a mosque, and the Waqf of Ibshir Mustafa Pasha complex are heavily damaged.",Wikipedia: Battle of Aleppo (2012-2016)
2014-05-22,day,Siege of Aleppo Central Prison lifted,Government forces lift the siege of Aleppo Central Prison after a two-year rebel encirclement.,Wikipedia: Battle of Aleppo (2012-2016)
2015-06-15,day,Rebel shelling of government-held Aleppo,Rebel shelling of government-held districts leaves 43 civilians dead and 190 wounded ahead of a new rebel offensive.,Wikipedia: Battle of Aleppo (2012-2016)
2015-09,month,Russian airstrikes begin in Syria,"Russian warplanes carry out their first strikes in Syria, including against rebel positions in Aleppo.",Wikipedia: Battle of Aleppo (2012-2016)
2016-06-25,day,Syrian Army north-west Aleppo offensive begins,"Syrian Army and allied forces begin an offensive aimed at cutting the Castello highway, the rebels' last supply route into the city.",Wikipedia: Battle of Aleppo (2012-2016)
2016-09-22,day,Government offensive to retake eastern Aleppo begins,Syrian government forces begin an offensive that takes 15-20% of the remaining rebel-held part of the city.,Wikipedia: Battle of Aleppo (2012-2016)
2016-12-13,day,Only 5% of city remains rebel-held; ceasefire announced,A ceasefire is announced to allow evacuation of civilians and rebels as government forces close in on the last rebel-held pocket.,Wikipedia: Battle of Aleppo (2012-2016)
2016-12-22,day,Evacuation completed; Battle of Aleppo ends,"Evacuation of remaining civilians and rebels is completed; the Syrian Army declares full control of the city. Over the 4.5-year battle, the Violations Documentation Center recorded at least 31,273 deaths (19 Jul 2012 - 15 Dec 2016), 76% of them civilians.",Wikipedia: Battle of Aleppo (2012-2016)
2020-02-17,day,Syrian government regains full control of Aleppo suburbs,"The Syrian Arab Army regains control of the last rebel-held Aleppo-city suburbs for the first time since 2012, as part of the wider Idlib/Aleppo offensive.",Wikipedia: Battle of Aleppo (2012-2016)
2024-11-27,day,HTS-led offensive into Aleppo governorate begins,"Syrian opposition forces, led by Hay'at Tahrir al-Sham, launch a major offensive into western and southern Aleppo governorate.",Wikipedia: Northwestern Syria offensive (2024) / Battle of Aleppo (2024)
2024-11-29,day,Rebel forces enter Aleppo city,"Opposition forces enter Aleppo city, the first rebel presence in Aleppo since the end of the 2012-2016 battle -- part of the offensive that would go on to topple the Assad government weeks later.",Wikipedia: Battle of Aleppo (2024)
