date,precision,name,category,credit,source_note
1556,year,Endowment by Dukakinzade Mehmed Pasha,construction,,Wikipedia: Al-Adiliyah Mosque
1566,year,Construction completed (974 AH),construction,,"Rapid Damage Assessment p.5 Building Survey ""974 AH (1566 AD)""; corroborated by Wikipedia (973 AH / 1565-66 CE)"
1976,year,Photo: central dome before collapse,documentation,Jean-Claude David 1976,Rapid Damage Assessment p.6 photo credit
1986,year,UNESCO World Heritage inscription (Ancient City of Aleppo),documentation,,Wikipedia: Al-Adiliyah Mosque infobox
2010,year,Photo: mosque pre-conflict state,documentation,Rami Alafandi 2010,Rapid Damage Assessment p.3 photo credit
2012-08-15,day,Google Earth pre-conflict site imagery reference,documentation,Syrian Heritage Archive Project,"Rapid Damage Assessment p.3 localization image credit"
2014-06,month,Photo: minaret showing damage,damage-photo,Aleppo Lens June 2014,Rapid Damage Assessment p.6 photo credit (Damage 1 - Minaret)
2015,year,Photo: painted ornaments inside collapsed dome,damage-photo,DGAM 2015,Rapid Damage Assessment p.7 photo credit (Damage 2 - Dome)
2016-12,month,Photo: portico damage,damage-photo,Abboudy Bsata December 2016,Rapid Damage Assessment p.8 photo credit (Damage 3 - Portico)
2018,year,Photo: mosque after armed conflict / remains of collapsed dome,damage-photo,Archaeology Facebook page 2018,Rapid Damage Assessment p.4 and p.7 photo credits
2018-09,month,Photo: portico damage (follow-up),damage-photo,Salah Maraashi September 2018,Rapid Damage Assessment p.8 photo credit (Damage 3 - Portico)
2019-04,month,Photo: minaret interior view,damage-photo,Aleppo Glory April 2019,Rapid Damage Assessment p.6 photo credit (Damage 1 - Minaret)
2019-04,month,Photo: rubble field of collapsed dome (aerial view),documentation,Abboudy Bsata April 2019,Rapid Damage Assessment Annex photo credit
2019-04,month,Local volunteers clean courtyard and sort portico rubble,intervention,Khaled Rahal April 2019,"Rapid Damage Assessment Annex; report states ""no action has taken except cleaning and sorting the portico rubble"""
2019-06-25,day,Rapid Damage Assessment report issued (RC3),documentation,"A. Haddad, I. Ballouz, R. Alafandi, Y. Rieffel (consultant)","Museum for Islamic Art Berlin / Syrian Heritage Archive Project / Gerda Henkel Stiftung Aleppo Heritage Catalogue, CC BY-NC-SA 4.0"
